Row Number,Item Code,Level 1 Code,Level 1 Name,Level 2 Code,Level 2 Name,Level 3 Code,Level 3 Name,Level 4 Code,Level 4 Name,Ability Type
176,3312,3000,Working Memory,3300,Letter-Number Sequencing,3310,Auditory Sequencing,3312,Alternating Categories (mental),Born Ability (Nature)
177,3320,3000,Working Memory,3300,Letter-Number Sequencing,3320,Mental Manipulation of Symbols,,,Born Ability (Nature)
178,3321,3000,Working Memory,3300,Letter-Number Sequencing,3320,Mental Manipulation of Symbols,3321,Reordering Rules Application,Born Ability (Nature)
179,3322,3000,Working Memory,3300,Letter-Number Sequencing,3320,Mental Manipulation of Symbols,3322,Categorical Sorting (mental),Born Ability (Nature)
180,3330,3000,Working Memory,3300,Letter-Number Sequencing,3330,Rule Application (alternating categories),,,Trainable Skill (Nurture)
181,3331,3000,Working Memory,3300,Letter-Number Sequencing,3330,Rule Application (alternating categories),3331,Adherence to Criteria,Trainable Skill (Nurture)
182,3332,3000,Working Memory,3300,Letter-Number Sequencing,3330,Rule Application (alternating categories),3332,Switching Set (cognitive),Trainable Skill (Nurture)
183,3340,3000,Working Memory,3300,Letter-Number Sequencing,3340,Dual-Task Management,,,Trainable Skill (Nurture)
184,3341,3000,Working Memory,3300,Letter-Number Sequencing,3340,Dual-Task Management,3341,Simultaneous Processing,Trainable Skill (Nurture)
185,3342,3000,Working Memory,3300,Letter-Number Sequencing,3340,Dual-Task Management,3342,Task Switching Efficiency,Trainable Skill (Nurture)
186,3350,3000,Working Memory,3300,Letter-Number Sequencing,3350,Order Maintenance,,,Born Ability (Nature)
187,3351,3000,Working Memory,3300,Letter-Number Sequencing,3350,Order Maintenance,3351,Serial Position Recall,Born Ability (Nature)
188,3352,3000,Working Memory,3300,Letter-Number Sequencing,3350,Order Maintenance,3352,Interference Resistance,Born Ability (Nature)
189,4000,4000,Processing Speed,,,,,,Born Ability (Nature)
190,4100,4000,Processing Speed,4100,Symbol Search,,,,Born Ability (Nature)
191,4110,4000,Processing Speed,4100,Symbol Search,4110,Visual Scanning Efficiency,,,Born Ability (Nature)
192,4111,4000,Processing Speed,4100,Symbol Search,4110,Visual Scanning Efficiency,4111,Rapid Eye Movements (saccades),Born Ability (Nature)
193,4112,4000,Processing Speed,4100,Symbol Search,4110,Visual Scanning Efficiency,4112,Target Localization,Born Ability (Nature)
194,4120,4000,Processing Speed,4100,Symbol Search,4120,Perceptual Discrimination,,,Born Ability (Nature)
195,4121,4000,Processing Speed,4100,Symbol Search,4120,Perceptual Discrimination,4121,Feature Comparison,Born Ability (Nature)
196,4122,4000,Processing Speed,4100,Symbol Search,4120,Perceptual Discrimination,4122,Stimulus Differentiation,Born Ability (Nature)
197,4130,4000,Processing Speed,4100,Symbol Search,4130,Decision Speed (match/no match),,,Born Ability (Nature)
198,4131,4000,Processing Speed,4100,Symbol Search,4130,Decision Speed (match/no match),4131,Reaction Time (simple),Born Ability (Nature)
199,4132,4000,Processing Speed,4100,Symbol Search,4130,Decision Speed (match/no match),4132,Response Execution Speed,Born Ability (Nature)
200,4140,4000,Processing Speed,4100,Symbol Search,4140,Speed of Information Processing,,,Born Ability (Nature)
201,4141,4000,Processing Speed,4100,Symbol Search,4140,Speed of Information Processing,4141,Cognitive Throughput,Born Ability (Nature)
202,4142,4000,Processing Speed,4100,Symbol Search,4140,Speed of Information Processing,4142,Rate of Mental Operations,Born Ability (Nature)
203,4150,4000,Processing Speed,4100,Symbol Search,4150,Visual Attention Switching,,,Born Ability (Nature)
204,4151,4000,Processing Speed,4100,Symbol Search,4150,Visual Attention Switching,4151,Shifting Focus (visual),Born Ability (Nature)
205,4152,4000,Processing Speed,4100,Symbol Search,4150,Visual Attention Switching,4152,Disengagement/Re-engagement,Born Ability (Nature)
206,4200,4000,Processing Speed,4200,Coding,,,,Trainable Skill (Nurture)
207,4210,4000,Processing Speed,4200,Coding,4210,Visual-Motor Speed,,,Trainable Skill (Nurture)
208,4211,4000,Processing Speed,4200,Coding,4210,Visual-Motor Speed,4211,Rapid Copying,Trainable Skill (Nurture)
209,4212,4000,Processing Speed,4200,Coding,4210,Visual-Motor Speed,4212,Dexterity (fine motor),Trainable Skill (Nurture)
210,4220,4000,Processing Speed,4200,Coding,4220,Short-Term Visual Memory,,,Born Ability (Nature)
211,4221,4000,Processing Speed,4200,Coding,4220,Short-Term Visual Memory,4221,Visual Span,Born Ability (Nature)
212,4222,4000,Processing Speed,4200,Coding,4220,Short-Term Visual Memory,4222,Pattern Retention (brief),Born Ability (Nature)
213,4230,4000,Processing Speed,4200,Coding,4230,Graphomotor Speed (writing/drawing),,,Trainable Skill (Nurture)
214,4231,4000,Processing Speed,4200,Coding,4230,Graphomotor Speed (writing/drawing),4231,Rapid Symbol Production,Trainable Skill (Nurture)
215,4232,4000,Processing Speed,4200,Coding,4230,Graphomotor Speed (writing/drawing),4232,Fluent Hand Movements,Trainable Skill (Nurture)
216,4240,4000,Processing Speed,4200,Coding,4240,Sustained Visual Attention,,,Trainable Skill (Nurture)
217,4241,4000,Processing Speed,4200,Coding,4240,Sustained Visual Attention,4241,Vigilance (visual),Trainable Skill (Nurture)
218,4242,4000,Processing Speed,4200,Coding,4240,Sustained Visual Attention,4242,Resistance to Boredom,Trainable Skill (Nurture)
219,4250,4000,Processing Speed,4200,Coding,4250,Paired Associate Learning (visual),,,Trainable Skill (Nurture)
220,4251,4000,Processing Speed,4200,Coding,4250,Paired Associate Learning (visual),4251,Symbol-Digit Association,Trainable Skill (Nurture)
221,4252,4000,Processing Speed,4200,Coding,4250,Paired Associate Learning (visual),4252,Encoding of Arbitrary Links,Trainable Skill (Nurture)
222,4300,4000,Processing Speed,4300,Cancellation,,,,Trainable Skill (Nurture)
223,4310,4000,Processing Speed,4300,Cancellation,4310,Selective Attention (visual),,,Trainable Skill (Nurture)
224,4311,4000,Processing Speed,4300,Cancellation,4310,Selective Attention (visual),4311,Target Isolation,Trainable Skill (Nurture)
225,4312,4000,Processing Speed,4300,Cancellation,4310,Selective Attention (visual),4312,Irrelevant Stimuli Filtering,Trainable Skill (Nurture)
226,4320,4000,Processing Speed,4300,Cancellation,4320,Sustained Attention,,,Trainable Skill (Nurture)
227,4321,4000,Processing Speed,4300,Cancellation,4320,Sustained Attention,4321,Prolonged Focus,Trainable Skill (Nurture)
228,4322,4000,Processing Speed,4300,Cancellation,4320,Sustained Attention,4322,Endurance of Attention,Trainable Skill (Nurture)
229,4330,4000,Processing Speed,4300,Cancellation,4330,Response Inhibition (ignoring distractors),,,Born Ability (Nature)
230,4331,4000,Processing Speed,4300,Cancellation,4330,Response Inhibition (ignoring distractors),4331,Automatic Response Suppression,Born Ability (Nature)
231,4332,4000,Processing Speed,4300,Cancellation,4330,Response Inhibition (ignoring distractors),4332,Interference Control,Born Ability (Nature)
232,4340,4000,Processing Speed,4300,Cancellation,4340,Distractor Resistance,,,Trainable Skill (Nurture)
233,4341,4000,Processing Speed,4300,Cancellation,4340,Distractor Resistance,4341,Noise Immunity (cognitive),Trainable Skill (Nurture)
234,4342,4000,Processing Speed,4300,Cancellation,4340,Distractor Resistance,4342,Focus Maintenance in Clutter,Trainable Skill (Nurture)
235,4350,4000,Processing Speed,4300,Cancellation,4350,Field Dependence/Independence,,,Born Ability (Nature)
236,4351,4000,Processing Speed,4300,Cancellation,4350,Field Dependence/Independence,4351,Disembedding Figures,Born Ability (Nature)
237,4352,4000,Processing Speed,4300,Cancellation,4350,Field Dependence/Independence,4352,Analytical vs. Global Processing,Born Ability (Nature)
238,5000,5000,Fluid Reasoning,,,,,,Born Ability (Nature)
239,5100,5000,Fluid Reasoning,5100,Inductive Reasoning,,,,Born Ability (Nature)
240,5110,5000,Fluid Reasoning,5100,Inductive Reasoning,5110,Hypothesis Generation,,,Born Ability (Nature)
241,5111,5000,Fluid Reasoning,5100,Inductive Reasoning,5110,Hypothesis Generation,5111,Idea Origination,Born Ability (Nature)
242,5112,5000,Fluid Reasoning,5100,Inductive Reasoning,5110,Hypothesis Generation,5112,Plausible Explanation Formulation,Born Ability (Nature)
243,5120,5000,Fluid Reasoning,5100,Inductive Reasoning,5120,Pattern Extrapolation,,,Born Ability (Nature)
244,5121,5000,Fluid Reasoning,5100,Inductive Reasoning,5120,Pattern Extrapolation,5121,Future Trend Prediction,Born Ability (Nature)
245,5122,5000,Fluid Reasoning,5100,Inductive Reasoning,5120,Pattern Extrapolation,5122,Rule Generalization,Born Ability (Nature)
246,5130,5000,Fluid Reasoning,5100,Inductive Reasoning,5130,Generalization from Specifics,,,Born Ability (Nature)
247,5131,5000,Fluid Reasoning,5100,Inductive Reasoning,5130,Generalization from Specifics,5131,Principle Discovery,Born Ability (Nature)
248,5132,5000,Fluid Reasoning,5100,Inductive Reasoning,5130,Generalization from Specifics,5132,Common Property Identification,Born Ability (Nature)
249,5140,5000,Fluid Reasoning,5100,Inductive Reasoning,5140,Abstraction from Examples,,,Born Ability (Nature)
250,5141,5000,Fluid Reasoning,5100,Inductive Reasoning,5140,Abstraction from Examples,5141,Conceptualization,Born Ability (Nature)
251,5142,5000,Fluid Reasoning,5100,Inductive Reasoning,5140,Abstraction from Examples,5142,Category Formation,Born Ability (Nature)
252,5150,5000,Fluid Reasoning,5100,Inductive Reasoning,5150,Causal Inference,,,Born Ability (Nature)
253,5151,5000,Fluid Reasoning,5100,Inductive Reasoning,5150,Causal Inference,5151,Cause-Effect Understanding,Born Ability (Nature)
254,5152,5000,Fluid Reasoning,5100,Inductive Reasoning,5150,Causal Inference,5152,Explanatory Reasoning,Born Ability (Nature)
255,5200,5000,Fluid Reasoning,5200,Deductive Reasoning,,,,Born Ability (Nature)
256,5210,5000,Fluid Reasoning,5200,Deductive Reasoning,5210,Logical Inference,,,Born Ability (Nature)
257,5211,5000,Fluid Reasoning,5200,Deductive Reasoning,5210,Logical Inference,5211,Necessary Conclusion Drawing,Born Ability (Nature)
258,5212,5000,Fluid Reasoning,5200,Deductive Reasoning,5210,Logical Inference,5212,Truth Evaluation,Born Ability (Nature)
259,5220,5000,Fluid Reasoning,5200,Deductive Reasoning,5220,Syllogistic Thinking,,,Born Ability (Nature)
260,5221,5000,Fluid Reasoning,5200,Deductive Reasoning,5220,Syllogistic Thinking,5221,Premise Integration,Born Ability (Nature)
261,5222,5000,Fluid Reasoning,5200,Deductive Reasoning,5220,Syllogistic Thinking,5222,Valid Conclusion Identification,Born Ability (Nature)
262,5230,5000,Fluid Reasoning,5200,Deductive Reasoning,5230,Rule Application (given rules),,,Trainable Skill (Nurture)
263,5231,5000,Fluid Reasoning,5200,Deductive Reasoning,5230,Rule Application (given rules),5231,Condition-Action Mapping,Trainable Skill (Nurture)
264,5232,5000,Fluid Reasoning,5200,Deductive Reasoning,5230,Rule Application (given rules),5232,Compliance with Instructions,Trainable Skill (Nurture)
265,5240,5000,Fluid Reasoning,5200,Deductive Reasoning,5240,Premise Evaluation,,,Born Ability (Nature)
266,5241,5000,Fluid Reasoning,5200,Deductive Reasoning,5240,Premise Evaluation,5241,Consistency Checking,Born Ability (Nature)
267,5242,5000,Fluid Reasoning,5200,Deductive Reasoning,5240,Premise Evaluation,5242,Factual Basis Assessment,Born Ability (Nature)
268,5250,5000,Fluid Reasoning,5200,Deductive Reasoning,5250,Conclusion Derivation,,,Born Ability (Nature)
269,5251,5000,Fluid Reasoning,5200,Deductive Reasoning,5250,Conclusion Derivation,5251,Stepwise Deduction,Born Ability (Nature)
270,5252,5000,Fluid Reasoning,5200,Deductive Reasoning,5250,Conclusion Derivation,5252,Inferential Chaining,Born Ability (Nature)
271,5300,5000,Fluid Reasoning,5300,Novel Problem Solving,,,,Born Ability (Nature)
272,5310,5000,Fluid Reasoning,5300,Novel Problem Solving,5310,Strategy Formation,,,Trainable Skill (Nurture)
273,5311,5000,Fluid Reasoning,5300,Novel Problem Solving,5310,Strategy Formation,5311,Planning (new situations),Trainable Skill (Nurture)
274,5312,5000,Fluid Reasoning,5300,Novel Problem Solving,5310,Strategy Formation,5312,Means-Ends Analysis,Trainable Skill (Nurture)
275,5320,5000,Fluid Reasoning,5300,Novel Problem Solving,5320,Cognitive Flexibility,,,Trainable Skill (Nurture)
276,5321,5000,Fluid Reasoning,5300,Novel Problem Solving,5320,Cognitive Flexibility,5321,Shifting Perspectives,Trainable Skill (Nurture)
277,5322,5000,Fluid Reasoning,5300,Novel Problem Solving,5320,Cognitive Flexibility,5322,Adapting to New Information,Trainable Skill (Nurture)
278,5330,5000,Fluid Reasoning,5300,Novel Problem Solving,5330,Error Correction,,,Trainable Skill (Nurture)
279,5331,5000,Fluid Reasoning,5300,Novel Problem Solving,5330,Error Correction,5331,Self-Monitoring (problem solving),Trainable Skill (Nurture)
280,5332,5000,Fluid Reasoning,5300,Novel Problem Solving,5330,Error Correction,5332,Debugging (mental),Trainable Skill (Nurture)
281,5340,5000,Fluid Reasoning,5300,Novel Problem Solving,5340,Trial-and-Error Learning,,,Trainable Skill (Nurture)
282,5341,5000,Fluid Reasoning,5300,Novel Problem Solving,5340,Trial-and-Error Learning,5341,Iterative Testing,Trainable Skill (Nurture)
283,5342,5000,Fluid Reasoning,5300,Novel Problem Solving,5340,Trial-and-Error Learning,5342,Feedback Integration,Trainable Skill (Nurture)
284,5350,5000,Fluid Reasoning,5300,Novel Problem Solving,5350,Insight Generation,,,Born Ability (Nature)
285,5351,5000,Fluid Reasoning,5300,Novel Problem Solving,5350,Insight Generation,5351,Aha! Moment Recognition,Born Ability (Nature)
286,5352,5000,Fluid Reasoning,5300,Novel Problem Solving,5350,Insight Generation,5352,Creative Solution Discovery,Born Ability (Nature)
287,5360,5000,Fluid Reasoning,5300,Novel Problem Solving,5360,Metacognition (monitoring problem solving),,,Trainable Skill (Nurture)
288,5361,5000,Fluid Reasoning,5300,Novel Problem Solving,5360,Metacognition (monitoring problem solving),5361,Awareness of Own Thinking,Trainable Skill (Nurture)
289,5362,5000,Fluid Reasoning,5300,Novel Problem Solving,5360,Metacognition (monitoring problem solving),5362,Self-Correction (strategic),Trainable Skill (Nurture)
290,6000,6000,Quantitative Reasoning,,,,,,
291,6100,6000,Quantitative Reasoning,6100,Numerical Ability,,,,Born Ability (Nature)
292,6110,6000,Quantitative Reasoning,6100,Numerical Ability,6110,Number Sense,,,Born Ability (Nature)
293,6111,6000,Quantitative Reasoning,6100,Numerical Ability,6110,Number Sense,6111,Cardinality Understanding,Born Ability (Nature)
294,6112,6000,Quantitative Reasoning,6100,Numerical Ability,6110,Number Sense,6112,Ordinality Understanding,Born Ability (Nature)
295,6120,6000,Quantitative Reasoning,6100,Numerical Ability,6120,Basic Arithmetic Operations,,,Trainable Skill (Nurture)
296,6121,6000,Quantitative Reasoning,6100,Numerical Ability,6120,Basic Arithmetic Operations,6121,Addition Fluency,Trainable Skill (Nurture)
297,6122,6000,Quantitative Reasoning,6100,Numerical Ability,6120,Basic Arithmetic Operations,6122,Subtraction Fluency,Trainable Skill (Nurture)
298,6123,6000,Quantitative Reasoning,6100,Numerical Ability,6120,Basic Arithmetic Operations,6123,Multiplication Fluency,Trainable Skill (Nurture)
299,6124,6000,Quantitative Reasoning,6100,Numerical Ability,6120,Basic Arithmetic Operations,6124,Division Fluency,Trainable Skill (Nurture)
300,6130,6000,Quantitative Reasoning,6100,Numerical Ability,6130,Magnitude Estimation,,,Born Ability (Nature)
301,6131,6000,Quantitative Reasoning,6100,Numerical Ability,6130,Magnitude Estimation,6131,Approximate Quantity Judgment,Born Ability (Nature)
302,6132,6000,Quantitative Reasoning,6100,Numerical Ability,6130,Magnitude Estimation,6132,Relative Numerical Size,Born Ability (Nature)
303,6140,6000,Quantitative Reasoning,6100,Numerical Ability,6140,Quantity Comparison,,,Born Ability (Nature)
304,6141,6000,Quantitative Reasoning,6100,Numerical Ability,6140,Quantity Comparison,6141,Greater/Lesser Than,Born Ability (Nature)
305,6142,6000,Quantitative Reasoning,6100,Numerical Ability,6140,Quantity Comparison,6142,Equality Recognition,Born Ability (Nature)
306,6150,6000,Quantitative Reasoning,6100,Numerical Ability,6150,Numerical Pattern Recognition,,,Born Ability (Nature)
307,6151,6000,Quantitative Reasoning,6100,Numerical Ability,6150,Numerical Pattern Recognition,6151,Series Identification,Born Ability (Nature)
308,6152,6000,Quantitative Reasoning,6100,Numerical Ability,6150,Numerical Pattern Recognition,6152,Sequence Prediction,Born Ability (Nature)
309,6200,6000,Quantitative Reasoning,6200,Mathematical Logic,,,,Born Ability (Nature)
310,6210,6000,Quantitative Reasoning,6200,Mathematical Logic,6210,Logical Deduction (numerical),,,Born Ability (Nature)
311,6211,6000,Quantitative Reasoning,6200,Mathematical Logic,6210,Logical Deduction (numerical),6211,Mathematical Inference,Born Ability (Nature)
312,6212,6000,Quantitative Reasoning,6200,Mathematical Logic,6210,Logical Deduction (numerical),6212,Constraint Satisfaction,Born Ability (Nature)
313,6220,6000,Quantitative Reasoning,6200,Mathematical Logic,6220,Abstract Quantitative Relationships,,,Born Ability (Nature)
314,6221,6000,Quantitative Reasoning,6200,Mathematical Logic,6220,Abstract Quantitative Relationships,6221,Variable Interdependence,Born Ability (Nature)
315,6222,6000,Quantitative Reasoning,6200,Mathematical Logic,6220,Abstract Quantitative Relationships,6222,Proportional Reasoning (abstract),Born Ability (Nature)
316,6230,6000,Quantitative Reasoning,6200,Mathematical Logic,6230,Equation Solving (implicit),,,Trainable Skill (Nurture)
317,6231,6000,Quantitative Reasoning,6200,Mathematical Logic,6230,Equation Solving (implicit),6231,Unknown Variable Isolation,Trainable Skill (Nurture)
318,6232,6000,Quantitative Reasoning,6200,Mathematical Logic,6230,Equation Solving (implicit),6232,Balancing Operations,Trainable Skill (Nurture)
319,6240,6000,Quantitative Reasoning,6200,Mathematical Logic,6240,Variable Manipulation (conceptual),,,Born Ability (Nature)
320,6241,6000,Quantitative Reasoning,6200,Mathematical Logic,6240,Variable Manipulation (conceptual),6241,Symbolic Reasoning,Born Ability (Nature)
321,6242,6000,Quantitative Reasoning,6200,Mathematical Logic,6240,Variable Manipulation (conceptual),6242,Algebraic Thinking (foundational),Born Ability (Nature)
322,6250,6000,Quantitative Reasoning,6200,Mathematical Logic,6250,Numerical Series Completion,,,Born Ability (Nature)
323,6251,6000,Quantitative Reasoning,6200,Mathematical Logic,6250,Numerical Series Completion,6251,Rule Discovery (numerical series),Born Ability (Nature)
324,6252,6000,Quantitative Reasoning,6200,Mathematical Logic,6250,Numerical Series Completion,6252,Extrapolation (numerical),Born Ability (Nature)
325,7000,7000,Short-Term Memory,,,,,,
326,7100,7000,Short-Term Memory,7100,Auditory Memory,,,,Born Ability (Nature)
327,7110,7000,Short-Term Memory,7100,Auditory Memory,7110,Verbal Encoding (immediate),,,Born Ability (Nature)
328,7111,7000,Short-Term Memory,7100,Auditory Memory,7110,Verbal Encoding (immediate),7111,Phonetic Registration,Born Ability (Nature)
329,7112,7000,Short-Term Memory,7100,Auditory Memory,7110,Verbal Encoding (immediate),7112,Semantic Tagging (brief),Born Ability (Nature)
330,7120,7000,Short-Term Memory,7100,Auditory Memory,7120,Auditory Recall (immediate),,,Born Ability (Nature)
331,7121,7000,Short-Term Memory,7100,Auditory Memory,7120,Auditory Recall (immediate),7121,Recalling Sounds/Words,Born Ability (Nature)
332,7122,7000,Short-Term Memory,7100,Auditory Memory,7120,Auditory Recall (immediate),7122,Serial Recall (auditory),Born Ability (Nature)
333,7130,7000,Short-Term Memory,7100,Auditory Memory,7130,Auditory Storage Capacity,,,Born Ability (Nature)
334,7131,7000,Short-Term Memory,7100,Auditory Memory,7130,Auditory Storage Capacity,7131,Span of Apprehension (auditory),Born Ability (Nature)
335,7132,7000,Short-Term Memory,7100,Auditory Memory,7130,Auditory Storage Capacity,7132,Chunking (auditory),Trainable Skill (Nurture)
336,7140,7000,Short-Term Memory,7100,Auditory Memory,7140,Rehearsal (auditory),,,Trainable Skill (Nurture)
337,7141,7000,Short-Term Memory,7100,Auditory Memory,7140,Rehearsal (auditory),7141,Maintenance Rehearsal,Trainable Skill (Nurture)
338,7142,7000,Short-Term Memory,7100,Auditory Memory,7140,Rehearsal (auditory),7142,Elaborative Rehearsal (brief),Trainable Skill (Nurture)
339,7200,7000,Short-Term Memory,7200,Visual Memory,,,,Born Ability (Nature)
340,7210,7000,Short-Term Memory,7200,Visual Memory,7210,Visual Encoding (immediate),,,Born Ability (Nature)
341,7211,7000,Short-Term Memory,7200,Visual Memory,7210,Visual Encoding (immediate),7211,Feature Extraction (brief visual),Born Ability (Nature)
342,7212,7000,Short-Term Memory,7200,Visual Memory,7210,Visual Encoding (immediate),7212,Spatial Location Encoding,Born Ability (Nature)
343,7220,7000,Short-Term Memory,7200,Visual Memory,7220,Visual Recall (immediate),,,Born Ability (Nature)
344,7221,7000,Short-Term Memory,7200,Visual Memory,7220,Visual Recall (immediate),7221,Recalling Images/Patterns,Born Ability (Nature)
345,7222,7000,Short-Term Memory,7200,Visual Memory,7220,Visual Recall (immediate),7222,Serial Recall (visual),Born Ability (Nature)
346,7230,7000,Short-Term Memory,7200,Visual Memory,7230,Visual Storage Capacity,,,Born Ability (Nature)
347,7231,7000,Short-Term Memory,7200,Visual Memory,7230,Visual Storage Capacity,7231,Span of Apprehension (visual),Born Ability (Nature)
348,7232,7000,Short-Term Memory,7200,Visual Memory,7230,Visual Storage Capacity,7232,Chunking (visual),Trainable Skill (Nurture)
349,7240,7000,Short-Term Memory,7200,Visual Memory,7240,Iconic Memory Access,,,Born Ability (Nature)
350,7241,7000,Short-Term Memory,7200,Visual Memory,7240,Iconic Memory Access,7241,Sensory Register Retrieval,Born Ability (Nature)
351,7242,7000,Short-Term Memory,7200,Visual Memory,7240,Iconic Memory Access,7242,Brief Visual Persistence,Born Ability (Nature)